Location,State,Total Biomass Residue (thousand tonnes/yr),Crop Residue,Manure Residue,Forest Residue,Primary Mill Residue,Secondary Mill Residue,Urban Residue,Landfill Residue
Jackson,Georgia,125370.133,495.486,4327.544,18107.000,95967.000,779.306,4743.227,0.000
Elbert,Georgia,51566.509,95.900,608.316,32789.000,8267.000,12.247,2204.967,0.000
Washington,Louisiana,312668.998,2529.505,744.981,62790.000,234558.000,261.130,4544.932,695.849
Evangeline,Louisiana,147944.898,80238.486,24.808,49454.000,0.000,248.882,3774.612,0.000
Tangipahoa,Louisiana,367705.895,1132.614,1106.364,55870.000,282065.000,2228.594,11016.770,2450.000
St. Helena,Louisiana,78629.582,0.000,240.007,69214.000,0.000,4.082,1158.028,0.000
East Feliciana,Louisiana,182953.263,830.584,63.984,76500.000,69544.000,493.682,2347.491,0.000
West Feliciana,Louisiana,79628.417,1305.150,16.636,52572.000,0.000,248.882,1804.614,0.000
Allen,Louisiana,93661.138,21284.900,10.269,67307.000,0.000,0.000,2670.428,0.000
Beauregard,Louisiana,101107.162,5235.249,115.504,58256.000,0.000,12.247,3798.722,0.000
St. Landry,Louisiana,386465.752,183332.667,53.227,38164.000,141900.000,1477.865,9074.451,2450.000
East Baton Rouge,Louisiana,94217.613,0.000,122.639,45878.000,0.000,2882.390,43770.093,0.000
Nueces,Texas,219563.115,160791.643,34.640,0.000,0.000,306.036,35805.303,17185.290
Acadia,Louisiana,153502.974,138706.893,12.528,5565.000,0.000,746.647,6059.360,1470.610
Lafayette,Louisiana,129904.745,80767.050,20.084,21115.000,0.000,1310.630,19771.144,6573.161
Ascension,Louisiana,127671.841,105264.250,11.091,7424.000,0.000,758.894,8223.974,5862.922
Doniphan,Kansas,179371.946,98976.043,104.273,4263.000,6818.000,252.965,1078.206,0.000
Orleans,Louisiana,59525.574,0.000,0.616,0.000,0.000,1747.159,49146.555,7829.787
St. Tammany,Louisiana,52498.813,0.000,26.776,29921.000,0.000,1747.159,19485.596,1002.001
Terrebonne,Louisiana,66289.805,52631.950,7.599,0.000,0.000,248.882,10869.076,2359.492
Lewis,Kentucky,96436.805,2324.503,109.132,51345.000,40042.000,493.682,1527.195,0.000
Hopkins,Kentucky,142041.046,34693.334,832.417,25335.000,13769.000,510.012,5586.091,0.000
Casey,Kentucky,73781.169,3507.158,622.770,31880.000,30830.000,252.965,1674.040,0.000
Jackson,Iowa,411105.239,151729.095,1816.105,18585.000,0.000,277.459,2184.195,0.000
Hidalgo,Texas,292304.935,217569.166,13.059,0.000,0.000,1816.560,62035.246,9929.241
Breckinridge,Kentucky,208383.795,15850.982,829.789,35506.000,60592.000,4.082,2111.723,0.000
Hardin,Kentucky,103537.487,31713.076,772.395,17697.000,13832.000,269.294,10569.054,5802.675
Nelson,Kentucky,50085.360,15612.061,1868.891,13502.000,3598.000,1016.842,4424.621,0.000
Henderson,Kentucky,127464.807,95238.308,245.736,18737.000,0.000,12.247,4949.041,0.000
Autauga,Alabama,120199.224,3791.370,193.891,25577.000,63603.000,16.330,5063.754,0.000
Macon,Alabama,110319.173,1835.043,11.320,25192.000,11595.000,0.000,2444.277,2533.359
Marengo,Alabama,344675.661,0.000,317.119,115275.000,104354.000,767.059,3102.503,0.000
Russell,Alabama,90410.400,564.982,7.204,35445.000,0.000,24.494,5226.881,0.000
Montgomery,Alabama,210304.733,1072.779,597.222,22491.000,69848.000,2580.437,23935.116,16145.111
Lowndes,Alabama,103218.001,2914.289,1120.816,29034.000,0.000,0.000,1547.739,0.000
Choctaw,Alabama,242296.289,0.000,124.233,106614.000,130170.000,0.000,2340.751,0.000
Bullock,Alabama,77084.544,0.000,189.553,20597.000,0.000,0.000,1460.154,0.000
Wilcox,Alabama,465491.975,0.000,74.098,97118.000,295904.000,244.800,1427.553,0.000
Barbour,Alabama,224286.571,5465.809,1675.852,57580.000,58710.000,996.430,3852.290,0.000
Pike,Alabama,102214.743,6214.859,3397.124,16901.000,0.000,265.212,3183.544,0.000
Crenshaw,Alabama,342388.824,1698.841,440.098,28237.000,233728.000,4.082,1476.428,0.000
Clarke,Alabama,537256.085,0.000,8.233,135884.000,393355.000,277.459,3733.549,0.000
Butler,Alabama,88653.794,625.604,2256.377,62076.000,0.000,265.212,2896.126,0.000
Monroe,Alabama,666579.322,3534.300,302.528,87001.000,547004.000,0.000,3283.504,5126.962
Henry,Alabama,281724.648,14564.104,763.958,28170.000,213592.000,12.247,2016.975,0.000
Albany,Wyoming,263639.471,0.000,2.492,4826.000,254933.000,36.742,3788.298,0.000
Conecuh,Alabama,164841.661,1701.007,39.107,63534.000,50209.000,252.965,1791.762,0.000
Washington,Alabama,116792.254,226.523,411.189,78397.000,29081.000,0.000,2288.959,0.000
Dale,Alabama,68957.518,6865.675,2057.954,24189.000,120.000,16.330,5526.423,0.000
Lauderdale,Alabama,124842.185,19057.987,646.405,28042.000,21202.000,807.883,9192.203,6269.170
Limestone,Alabama,97159.361,39541.111,689.303,9185.000,140.000,534.506,6659.629,5109.108
Madison,Alabama,106940.260,40038.764,119.998,9312.000,0.000,3514.730,28057.729,11747.119
Colbert,Alabama,68294.990,17568.528,1175.449,13209.000,0.000,1033.171,5666.227,2450.000
DeKalb,Alabama,79734.860,10880.135,5875.539,22912.000,0.000,53.071,6626.294,5583.973
Randolph,West Virginia,91737.643,0.000,10.646,87549.000,0.000,1082.160,3031.412,0.000
Upshur,West Virginia,72309.422,0.000,7.851,25574.000,43637.000,767.059,2284.811,0.000
Lawrence,Alabama,325958.300,26005.599,2573.146,16999.000,119262.000,489.600,3710.628,0.000
Morgan,Alabama,91595.582,7988.895,2941.917,11326.000,28847.000,2045.030,11534.370,7847.161
Marshall,Alabama,233667.737,5607.852,7561.237,15694.000,172539.000,522.259,8519.887,2643.320
El Paso,Colorado,95023.171,53.857,684.459,1180.000,0.000,2878.308,52989.924,36381.830
Salt Lake,Utah,130324.623,2664.787,10.650,0.000,0.000,11300.191,90405.422,24458.000
Chaffee,Colorado,183509.147,0.000,143.674,0.000,181468.000,32.659,1837.956,0.000
Saguache,Colorado,65416.789,60427.343,448.233,3928.000,0.000,0.000,603.429,0.000
Monona,Iowa,342141.362,285943.524,450.054,839.000,0.000,0.000,1124.285,0.000
Johnson,Tennessee,65004.105,453.046,8.749,7660.000,54031.000,497.765,1951.618,372.990
Scott,Tennessee,50067.155,0.000,37.755,19898.000,26163.000,762.977,2337.419,833.069
Overton,Tennessee,57220.964,415.292,152.711,26979.000,22668.000,8.165,2230.122,441.537
